"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","valence","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_qKPzFpQgTk5zz69",6,6,5,4,59,"sam","non-diagnostic","ND1","good",45,1,7,2,5.25,-0.102573791410854
"R_1mt8vcCqSdAH9XL",6,6,5,5,87,"sam","non-diagnostic","ND1","good",39,1,7,1,5.5,0.419923782816039
"R_3JIOSGKxL8vtRV7",6,6,6,6,80,"sam","non-diagnostic","ND1","good",35,1,1,3,6,0.437352038283053
"R_1DUsrL5ftsgcHeX",5,5,6,7,72,"sam","non-diagnostic","ND1","good",47,1,7,5,5.75,0.241066176115453
"R_3HIdqIuQNsUTEi2",6,6,7,6,89,"sam","non-diagnostic","ND1","good",37,1,7,2,6.25,0.649948486053618
"R_1is1lwLJ10hKrSG",7,7,7,7,95,"sam","non-diagnostic","ND1","good",38,1,7,5,7,0.945215531703055
"R_1eFqSF3wkDvoLnh",6,7,6,7,100,"sam","non-diagnostic","ND1","good",55,1,7,2,6.5,0.895166105030112
"R_2q7zzYz3cxeg5sY",5,5,4,6,74,"sam","non-diagnostic","ND1","good",57,2,7,3,5,0.0762838152897324
"R_3md8HpajkCv1bMd",7,7,7,7,98,"sam","non-diagnostic","ND1","good",26,2,7,5,7,0.994147288511949
"R_V3wi31LIAzzL6RX",4,4,4,4,50,"sam","non-diagnostic","ND1","good",45,1,7,2,4,-0.578374948556951
"R_3oGaAy44AIDMhI9",7,7,7,7,100,"sam","non-diagnostic","ND1","good",45,2,7,2,7,1.02676845971788
"R_3flxYfAzGXiA0kL",7,7,7,7,100,"sam","non-diagnostic","ND1","good",42,1,7,3,7,1.02676845971788
"R_3EZvUbsHnWWHwlA",7,4,5,6,100,"sam","non-diagnostic","ND1","good",53,1,7,3,5.5,0.631961395654579
"R_28LLsZV94BqbyPW",6,5,5,6,82,"sam","non-diagnostic","ND1","good",45,1,7,2,5.5,0.338370854801216
"R_3fT1mMWTAGh5dRy",7,7,7,7,100,"sam","non-diagnostic","ND1","good",49,1,7,2,7,1.02676845971788
"R_r8QbpK08EYi5StH",7,6,6,6,68,"sam","non-diagnostic","ND1","good",25,1,1,3,6.25,0.307426188391361
"R_2QPqnF6ibH5gwOt",7,7,6,6,90,"sam","non-diagnostic","ND1","good",24,1,7,2,6.5,0.732060249000466
"R_b3COEb4W7mAQYsF",5,6,6,6,100,"sam","non-diagnostic","ND1","good",27,2,7,5,5.75,0.697762572998462
"R_2WPDL0KC794rzbD",7,6,7,6,91,"sam","non-diagnostic","ND1","good",30,1,1,5,6.5,0.74837083460343
